Loan_ID,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Gender_Male,Married_Yes,Dependents_1,Dependents_2,Dependents_3+,Education_Not Graduate,Self_Employed_Yes,Property_Area_Semiurban,Property_Area_Urban
LP001273,0.09772843680942066,0.21504218496583322,1.4189597982848712,0.2732312961117544,0.41173269183271005,1,1,0,0,0,0,0,1,0
LP001316,-0.4006279980413318,0.43735071155571414,-0.17554341627556563,0.2732312961117544,0.41173269183271005,1,1,0,0,0,0,0,1,0
LP001758,0.13868475131063304,0.025224904569858004,0.7644995236518561,0.2732312961117544,0.41173269183271005,1,1,0,1,0,0,0,1,0
LP002537,-0.5439750987955752,0.5228539910133606,-0.21124124943736647,0.2732312961117544,0.41173269183271005,1,1,0,0,0,0,0,1,0
LP002493,-0.2027270863714735,-0.5544873301529852,-0.5682195810553747,0.2732312961117544,-2.428760260810931,1,0,0,0,0,0,0,1,0
LP002191,2.3470492292160055,1.2465537483428806,5.048239503067955,0.2732312961117544,0.41173269183271005,1,1,0,0,0,0,0,0,0
LP001264,-0.3391935262895132,0.18631308306806402,-0.18744269399616592,0.2732312961117544,0.41173269183271005,1,1,0,0,1,1,1,1,0
LP001050,-0.33395111803335803,0.10115181672824809,-0.4016296929669709,0.2732312961117544,-2.428760260810931,1,1,0,1,0,1,0,0,0
LP001639,-0.2913565509520971,-0.5544873301529852,-0.44922680384937197,0.2732312961117544,0.41173269183271005,0,1,0,0,0,0,0,1,0
LP001935,0.672427441890433,-0.5544873301529852,0.49081613607804975,0.2732312961117544,0.41173269183271005,1,0,0,0,0,0,0,0,0
LP002706,-0.019406622664046805,-0.06540857165524729,0.1814349153424426,0.2732312961117544,-2.428760260810931,1,1,1,0,0,1,0,1,0
LP002862,0.11820659406002686,0.0012839863217169861,0.49081613607804975,2.1372759162519452,0.41173269183271005,1,1,0,1,0,1,0,1,0
LP002369,-0.4068533578455161,-0.5489740784062651,-0.6991116359819778,0.2732312961117544,0.41173269183271005,1,1,0,0,0,0,0,0,0
LP001574,-0.27792287979569946,0.52832620089865,0.43131974747504837,0.2732312961117544,0.41173269183271005,1,1,0,0,0,0,0,0,0
LP002319,0.13966770285866215,-0.5544873301529852,0.16953563762184234,0.2732312961117544,0.41173269183271005,1,1,0,0,0,0,0,0,1
LP002699,1.9817189038651908,-0.5544873301529852,3.0253622905659086,0.2732312961117544,0.41173269183271005,1,1,0,1,0,0,1,0,0
LP001020,1.2184570268205968,3.196712546212882,2.4184991268152944,0.2732312961117544,0.41173269183271005,1,1,1,0,0,0,0,1,0
LP002175,-0.10705313569664134,0.24342927374577186,-0.18744269399616592,0.2732312961117544,0.41173269183271005,1,1,0,0,0,0,0,0,1
LP002555,-0.13441195378345122,0.15792599428812537,0.16953563762184234,0.2732312961117544,0.41173269183271005,1,1,0,1,0,0,1,1,0
LP002367,-0.13064397284933968,-0.5544873301529852,-0.7705073023055794,0.2732312961117544,0.41173269183271005,0,0,1,0,0,1,0,0,0
LP002949,-0.8170718038896595,13.696173250494041,2.4303984045358944,-2.5228356340985316,0.41173269183271005,0,0,0,0,1,0,0,0,1
LP002234,0.2889125129010801,-0.5544873301529852,-0.21124124943736647,0.2732312961117544,0.41173269183271005,1,0,0,0,0,0,1,0,1
LP001275,-0.23188798229633673,-0.5544873301529852,-1.1393849116441879,-1.5908133240284363,0.41173269183271005,1,1,1,0,0,0,0,0,1
LP001875,-0.2143586796898178,0.6244318870090446,0.06244213813643986,0.2732312961117544,0.41173269183271005,1,0,0,0,0,0,0,0,0
LP001673,0.9168547268336686,-0.5544873301529852,-0.7467087468643788,0.2732312961117544,0.41173269183271005,1,0,0,0,0,0,1,0,1
LP002945,0.7469679342826396,-0.5544873301529852,0.40752119203384785,0.2732312961117544,0.41173269183271005,1,1,0,0,0,0,1,0,0
LP002732,-0.46746870330731044,0.14390345645707134,-0.23503980487856702,0.2732312961117544,0.41173269183271005,1,0,0,0,0,1,0,0,0
LP002502,-0.8508198070386584,0.4431649345588341,-0.5682195810553747,0.2732312961117544,0.41173269183271005,0,1,0,1,0,1,0,1,0
LP002894,-0.3665523443763231,-0.5544873301529852,-1.3059747997325917,0.2732312961117544,0.41173269183271005,0,1,0,0,0,0,0,1,0
LP001938,-0.16439197599833869,-0.5544873301529852,-0.22314052715796673,0.2732312961117544,-2.428760260810931,1,1,0,1,0,0,0,1,0
LP001255,-0.2708783937014909,-0.5544873301529852,-0.3897304152463706,2.1372759162519452,0.41173269183271005,1,0,0,0,0,0,0,0,1
LP001319,-0.3490230417698042,0.06797654429868126,-0.7705073023055794,0.2732312961117544,0.41173269183271005,1,1,0,1,0,1,0,0,1
LP001978,-0.22992207920027855,0.30054546442347974,-0.06844991679016317,0.2732312961117544,0.41173269183271005,1,0,0,0,0,0,0,0,0
LP001238,0.2779362206147552,-0.5544873301529852,-0.2469390825991673,-4.386880254238722,0.41173269183271005,1,1,0,0,1,1,1,0,1
LP001032,-0.07428808409567142,-0.5544873301529852,-0.2469390825991673,0.2732312961117544,0.41173269183271005,1,0,0,0,0,0,0,0,1
LP001711,-0.3233024762630428,-0.12697093286475275,-0.21124124943736647,0.2732312961117544,-2.428760260810931,1,1,0,0,1,0,0,1,0
LP001883,-0.325268379359101,-0.5544873301529852,-0.12794630539316454,0.2732312961117544,0.41173269183271005,0,0,0,0,0,0,0,0,0
LP001289,0.5181040488498647,-0.5544873301529852,0.7644995236518561,0.2732312961117544,0.41173269183271005,1,0,0,0,0,0,0,0,1
LP002652,0.06742076407852347,0.6993327598139429,1.966326573432484,0.2732312961117544,0.41173269183271005,1,0,0,0,0,0,0,0,0
LP001405,-0.5225139899969399,-0.07635299142582604,-0.7229101914231782,0.2732312961117544,0.41173269183271005,1,1,1,0,0,0,0,0,1
LP002272,-0.34853156599578966,-0.3889529811229816,-0.12794630539316454,0.2732312961117544,0.41173269183271005,1,1,0,1,0,0,0,1,0
LP002347,-0.35344632373593515,-0.0698547421870449,-0.09224847223136372,0.2732312961117544,0.41173269183271005,1,1,0,0,0,0,0,1,0
LP001098,-0.3118347082027033,0.015648537270601597,-0.3778311375257703,0.2732312961117544,0.41173269183271005,1,1,0,0,0,0,0,1,0
LP001002,0.07299082285068836,-0.5544873301529852,-0.21124124943736647,0.2732312961117544,0.41173269183271005,1,0,0,0,0,0,0,0,1
LP002964,-0.23205180755434157,-0.07190682089402842,0.1338378044600415,0.2732312961117544,0.41173269183271005,1,1,0,1,0,1,0,0,0
LP001610,0.01843701193507345,3.3102609013326365,4.155793674022934,0.2732312961117544,-2.428760260810931,1,1,0,0,1,0,0,1,0
LP002149,0.47993276373473476,0.5286682140164806,0.2290320262248437,0.2732312961117544,0.41173269183271005,1,1,0,1,0,0,0,0,0
LP002287,-0.6394852242124025,0.061136281942069534,-0.5087231924523733,0.2732312961117544,-2.428760260810931,0,0,0,0,0,0,0,1,0
LP002602,0.1440909848247931,0.9558425981868824,0.7526002459312559,0.2732312961117544,-2.428760260810931,1,0,0,0,0,0,0,0,0
LP001864,-0.07740076399776356,-0.5544873301529852,-0.21124124943736647,0.2732312961117544,0.41173269183271005,1,1,0,0,1,1,0,1,0
LP001047,-0.45927744040706797,0.09909973802126458,-0.3540325820845698,0.2732312961117544,-2.428760260810931,1,1,0,0,0,1,0,1,0
LP002459,-0.1806106765408188,-0.5544873301529852,-0.3302340266433692,0.2732312961117544,0.41173269183271005,1,1,0,0,0,0,0,0,1
LP001404,-0.36638851911831827,0.22632861785424258,0.09813997129824069,0.2732312961117544,0.41173269183271005,0,1,0,0,0,0,0,1,0
LP001310,0.047761733117941525,0.8706813318470665,0.34802480343084646,0.2732312961117544,0.41173269183271005,1,1,0,0,0,0,0,1,0
LP002898,-0.5772316261705597,-0.5544873301529852,-1.0084928567175848,0.2732312961117544,0.41173269183271005,1,1,1,0,0,0,0,0,0
LP002422,5.294101795465245,-0.5544873301529852,0.07434141585704014,0.2732312961117544,0.41173269183271005,1,0,1,0,0,0,0,1,0
LP001038,-0.08460907534997694,-0.5544873301529852,-0.1517448608343651,0.2732312961117544,0.41173269183271005,1,1,0,0,0,1,0,0,0
LP002226,-0.3391935262895132,0.30054546442347974,-0.21124124943736647,0.2732312961117544,0.41173269183271005,1,1,0,0,0,0,0,1,0
LP002434,-0.1231080109811166,-0.5544873301529852,-0.4254282484081714,0.2732312961117544,0.41173269183271005,1,1,0,1,0,1,0,0,0
LP001508,1.0408704471433399,-0.5544873301529852,0.49081613607804975,-2.5228356340985316,0.41173269183271005,1,1,0,1,0,0,0,0,1
LP001936,-0.3814604428547644,0.2718163625257105,-0.08034919451076344,0.2732312961117544,0.41173269183271005,1,1,0,0,0,0,0,0,0
LP002142,0.015815807806995857,-0.5544873301529852,-0.4849246370111728,0.2732312961117544,-2.428760260810931,0,1,0,0,0,0,1,0,0
LP002788,-0.483195928075776,0.24342927374577186,0.41942046975444813,0.2732312961117544,-2.428760260810931,1,1,0,0,0,1,0,0,1
LP002950,-0.4111128145536422,0.4004132948300108,0.11003924901884096,0.2732312961117544,0.41173269183271005,1,1,0,0,0,1,0,0,0
LP001868,-0.5477430797296867,0.2010196471347792,-0.13984558311376483,0.2732312961117544,0.41173269183271005,1,0,0,0,0,0,0,1,0
LP002587,-0.45927744040706797,0.026934970159010935,-0.46112608156997226,0.2732312961117544,0.41173269183271005,1,1,0,0,0,1,0,0,0
LP002716,0.2260036138272179,-0.5544873301529852,-0.18744269399616592,0.2732312961117544,0.41173269183271005,1,0,0,0,0,1,0,1,0
LP002335,-0.5331626317672551,0.5526091322646216,0.38372263659264727,0.2732312961117544,-2.428760260810931,0,1,0,0,0,1,0,1,0
LP001578,-0.48565330694584874,0.5854423915763578,-0.19934197171676618,0.2732312961117544,0.41173269183271005,1,1,0,0,0,0,0,0,0
LP001186,0.9987673558360934,-0.5544873301529852,1.6688446304174769,0.2732312961117544,-2.428760260810931,0,1,1,0,0,0,1,0,1
LP001825,-0.588863219488904,0.08439317395454939,-0.6634138028201769,0.2732312961117544,0.41173269183271005,1,1,0,0,0,0,0,0,1
LP001138,0.04022577124971845,-0.5544873301529852,-1.2107805779677896,0.2732312961117544,0.41173269183271005,1,1,1,0,0,0,0,0,1
LP001322,-0.20813331988563355,-0.5544873301529852,-0.2826369157609681,0.2732312961117544,0.41173269183271005,1,0,0,0,0,0,0,1,0
LP001892,-0.421106155291938,0.08063102965841293,-0.23503980487856702,0.2732312961117544,0.41173269183271005,1,0,0,0,0,0,0,0,0
LP001379,-0.26268713080124845,0.6767598940371243,0.8358951899754578,0.2732312961117544,-2.428760260810931,1,1,0,1,0,0,0,0,1
LP001910,-0.2212393405260215,0.27523649370401637,0.1457370821806418,0.2732312961117544,-2.428760260810931,1,0,1,0,0,1,1,0,1
LP001665,-0.3732691799545219,0.32893255320341835,0.2885284148278451,0.2732312961117544,0.41173269183271005,1,1,1,0,0,0,0,1,0
LP002990,-0.13441195378345122,-0.5544873301529852,-0.1517448608343651,0.2732312961117544,-2.428760260810931,0,0,0,0,0,0,1,1,0
LP002586,-0.34034030309554714,-0.24222935357366024,-0.4849246370111728,-4.014071330210684,0.41173269183271005,0,1,1,0,0,0,0,1,0
LP002447,-0.5644532560461814,-0.05651623059165205,-1.0203921344381852,-0.6587910139583409,0.41173269183271005,1,1,0,1,0,1,0,0,1
LP001811,-0.3272342824551592,0.956184611304713,-0.2707376380403678,0.2732312961117544,0.41173269183271005,1,1,0,0,0,1,0,1,0
LP002265,-0.5587193720160116,0.0012839863217169861,-0.3897304152463706,-2.5228356340985316,0.41173269183271005,1,1,0,1,0,1,0,1,0
LP002002,-0.40734483361953067,-0.5544873301529852,-0.7348094691437785,0.2732312961117544,0.41173269183271005,0,0,0,0,0,0,0,1,0
LP002315,0.4745265302205747,-0.5544873301529852,0.07434141585704014,-0.6587910139583409,-2.428760260810931,1,1,1,0,0,0,0,1,0
LP002855,1.8450886386891463,-0.5544873301529852,1.537952575490874,0.2732312961117544,0.41173269183271005,1,1,0,1,0,0,0,0,1
LP001872,-0.03890182836662391,-0.5544873301529852,-0.21124124943736647,0.2732312961117544,0.41173269183271005,1,0,0,0,0,0,1,1,0
LP002547,2.1181853437832308,-0.5544873301529852,4.215290062625936,0.2732312961117544,0.41173269183271005,1,1,1,0,0,0,0,0,1
LP001241,-0.18077450179882365,-0.5544873301529852,-0.11604702767256427,0.2732312961117544,-2.428760260810931,0,0,0,0,0,0,0,1,0
LP002772,-0.47140050949942686,0.05532205893894957,-0.00895352818716179,0.2732312961117544,0.41173269183271005,1,0,0,0,0,0,0,0,0
LP002342,-0.6231026984119176,6.285775026458735,1.1095785775492641,0.2732312961117544,0.41173269183271005,1,1,0,1,0,0,1,0,1
LP001925,-0.45927744040706797,0.032749193162130895,-0.5563203033347744,-0.6587910139583409,0.41173269183271005,0,0,0,0,0,0,1,1,0
LP002738,-0.29266715301613594,-0.5544873301529852,-0.46112608156997226,0.2732312961117544,0.41173269183271005,1,0,0,1,0,0,0,1,0
LP002741,-0.13031632233333,0.4185399900750319,-0.06844991679016317,-2.5228356340985316,0.41173269183271005,0,1,1,0,0,0,0,1,0
LP001955,-0.06609682119542894,0.31456800225453374,0.06244213813643986,2.1372759162519452,0.41173269183271005,0,0,0,0,0,0,0,0,0
LP001520,-0.08903235731610788,-0.2706164423535989,-0.2469390825991673,0.2732312961117544,0.41173269183271005,1,1,0,0,0,0,0,1,0
LP001439,-0.18077450179882365,0.13432708915781494,0.5741110801222516,0.2732312961117544,0.41173269183271005,1,1,0,0,0,1,0,0,0
LP002418,-0.11409762179084987,0.12714481368337263,0.026744304974639036,0.2732312961117544,0.41173269183271005,1,0,0,0,1,1,0,1,0
LP002536,-0.3781839376946674,-0.5544873301529852,-0.3897304152463706,0.2732312961117544,0.41173269183271005,1,1,0,0,1,1,0,0,0
LP001640,5.52804426389617,1.0700749795422981,-0.3064354712021687,0.2732312961117544,0.41173269183271005,1,1,0,0,0,0,1,1,0
LP001819,0.1973341936763692,-0.5544873301529852,-0.10414774995196399,-2.5228356340985316,0.41173269183271005,1,1,1,0,0,1,0,0,1
LP001963,-0.5552790415979099,0.44590103950147875,-0.3897304152463706,0.2732312961117544,0.41173269183271005,1,1,1,0,0,0,0,0,1
LP002705,-0.2667827622513697,-0.5544873301529852,-0.4254282484081714,0.2732312961117544,0.41173269183271005,1,1,0,0,0,0,0,1,0
LP001891,0.9407732145023766,-0.5544873301529852,-0.11604702767256427,0.2732312961117544,0.41173269183271005,1,1,0,0,0,0,0,0,1
LP001907,1.5038406262650446,-0.5544873301529852,3.4537362885075185,0.2732312961117544,0.41173269183271005,1,1,0,0,0,0,0,1,0
LP001095,-0.36638851911831827,-0.5544873301529852,-0.8538022463497813,0.2732312961117544,0.41173269183271005,1,0,0,0,0,0,0,0,1
LP002928,-0.3937473372051281,0.6138294803562965,-1.0679892453205864,-2.5228356340985316,0.41173269183271005,1,1,0,0,0,0,0,1,0
LP002692,0.044812878473854234,-0.0674606503622308,-0.5444210256141742,0.2732312961117544,0.41173269183271005,1,1,0,0,1,0,1,0,0
LP002888,-0.3639311402482455,0.4431649345588341,0.1814349153424426,0.2732312961117544,0.41173269183271005,1,0,0,0,0,0,0,0,1
LP002515,-0.3200259711029458,0.15655794181680302,0.1933341930630429,0.2732312961117544,0.41173269183271005,1,1,1,0,0,0,1,1,0
LP002960,-0.4920424920080379,0.7451625176032415,-0.21124124943736647,-2.5228356340985316,0.41173269183271005,1,1,0,0,0,1,0,0,1
LP001398,-0.05790555829518646,-0.5544873301529852,-0.3302340266433692,0.2732312961117544,0.41173269183271005,1,0,0,0,0,0,0,1,0
LP001688,-0.3118347082027033,-0.18408712354246062,-0.12794630539316454,0.2732312961117544,0.41173269183271005,1,1,1,0,0,1,0,0,1
LP001498,0.0022183113925933404,-0.5544873301529852,0.26472985938664456,0.2732312961117544,0.41173269183271005,1,0,0,0,0,0,0,0,1
LP002138,-0.4551818089569467,1.5830946562881771,0.49081613607804975,0.2732312961117544,0.41173269183271005,1,1,0,0,0,0,0,0,0
LP001014,-0.38784962791695354,0.30191351689480206,0.1457370821806418,0.2732312961117544,-2.428760260810931,1,1,0,0,1,0,0,1,0
LP002729,0.957811041334881,-0.5544873301529852,0.5979096355634522,0.2732312961117544,0.41173269183271005,1,0,1,0,0,0,0,1,0
LP001041,-0.45927744040706797,0.6425585822540657,-0.36593185980517007,0.2732312961117544,0.41173269183271005,1,1,0,0,0,0,0,0,1
LP001586,-0.30823055252659665,-0.5544873301529852,-0.7705073023055794,-2.5228356340985316,0.41173269183271005,1,1,0,0,1,1,0,0,0
LP002501,1.8493480953972723,-0.5544873301529852,-0.4254282484081714,0.2732312961117544,0.41173269183271005,1,1,0,0,0,0,0,1,0
LP001195,-0.5359476611533376,-0.010344459684522937,-0.5920181364965753,0.2732312961117544,0.41173269183271005,1,1,0,0,0,0,0,1,0
LP002043,-0.3051178726245045,-0.5544873301529852,-0.4016296929669709,0.2732312961117544,0.41173269183271005,0,0,1,0,0,0,0,1,0
LP002130,-0.3080667272685918,0.5502150404398075,0.07434141585704014,0.2732312961117544,-2.428760260810931,1,1,0,0,0,1,0,0,0
LP002961,-0.3282172340031883,0.30054546442347974,0.3242262479896459,0.2732312961117544,0.41173269183271005,1,1,1,0,0,0,0,1,0
LP002100,-0.421106155291938,-0.5544873301529852,-0.8895000795115822,0.2732312961117544,0.41173269183271005,1,0,0,0,0,0,0,0,1
LP002051,-0.4920424920080379,0.1866550961858946,-0.36593185980517007,0.2732312961117544,0.41173269183271005,1,1,0,0,0,0,0,1,0
LP001151,-0.22992207920027855,0.22359251291159787,-0.020852805907762065,0.2732312961117544,0.41173269183271005,0,0,0,0,0,0,0,1,0
LP001896,-0.24630460500076348,-0.5544873301529852,-0.6634138028201769,0.2732312961117544,0.41173269183271005,1,1,0,1,0,0,0,1,0
LP001066,0.6809463553066852,-0.5544873301529852,0.5384132469604509,0.2732312961117544,0.41173269183271005,1,1,0,0,0,0,1,1,0
LP002244,-0.5030187842943628,0.27215837564354106,-0.11604702767256427,0.2732312961117544,0.41173269183271005,1,1,0,0,0,0,0,0,1
LP002958,-0.2830014627938498,0.916511089636365,0.31232697026904566,0.2732312961117544,0.41173269183271005,1,0,0,0,0,0,0,0,0
LP001736,-0.521367213190906,-0.5544873301529852,-1.0203921344381852,0.2732312961117544,-2.428760260810931,1,1,0,0,0,0,0,0,1
LP002387,-0.48794686055791664,0.24582336557058596,-0.03275208362836234,0.2732312961117544,0.41173269183271005,1,1,0,0,0,0,0,1,0
LP001990,-0.5575725952099777,-0.5544873301529852,-0.21124124943736647,0.2732312961117544,0.41173269183271005,1,0,0,0,0,1,0,0,1
LP001813,0.10591969970966313,0.9274555094069438,-0.3064354712021687,-2.5228356340985316,0.41173269183271005,1,0,0,0,0,0,1,0,1
LP002194,1.6964991296787477,-0.5544873301529852,-1.0798885230411865,0.2732312961117544,0.41173269183271005,0,0,0,0,0,0,1,1,0
LP001535,-0.35213572167189633,-0.5544873301529852,-1.1393849116441879,0.2732312961117544,0.41173269183271005,1,0,0,0,0,0,0,0,1
LP001448,3.014309505069758,-0.5544873301529852,2.6683839589479,0.2732312961117544,0.41173269183271005,1,1,0,0,1,0,0,0,0
LP002143,-0.48827451107392633,-0.3817707056485393,-0.18744269399616592,0.2732312961117544,0.41173269183271005,0,1,0,0,0,0,0,1,0
LP001392,0.33543888617445744,-0.5544873301529852,-0.21124124943736647,0.2732312961117544,0.41173269183271005,0,0,1,0,0,0,1,1,0
LP001594,0.04989146147200457,1.3693364576440608,0.49081613607804975,0.2732312961117544,0.41173269183271005,1,1,0,0,0,0,0,1,0
LP001197,-0.3337872927753532,0.19794152907430393,-0.12794630539316454,0.2732312961117544,0.41173269183271005,1,1,0,0,0,0,0,0,0
LP002098,-0.4043959789754433,-0.5544873301529852,-0.5682195810553747,0.2732312961117544,0.41173269183271005,1,0,0,0,0,0,0,1,0
LP001744,-0.39849826968726876,0.40007128171218026,-0.020852805907762065,0.2732312961117544,0.41173269183271005,1,0,0,0,0,0,0,1,0
LP001036,-0.31019645562265485,-0.5544873301529852,-0.8300036909085807,0.2732312961117544,-2.428760260810931,0,0,0,0,0,0,0,0,1
LP002161,-0.11147641766277228,-0.5544873301529852,-0.7705073023055794,0.2732312961117544,0.41173269183271005,0,0,1,0,0,0,0,1,0
LP001846,-0.3801498407907256,-0.5544873301529852,1.2999670210788685,0.2732312961117544,0.41173269183271005,0,0,0,0,1,0,0,0,0
LP002361,-0.5870611416508507,0.03343321939779207,-0.5444210256141742,0.2732312961117544,0.41173269183271005,1,1,0,0,0,0,0,0,1
LP002917,-0.5305414276391776,-0.5544873301529852,-0.9013993572321825,0.2732312961117544,0.41173269183271005,0,0,0,0,0,1,0,1,0
LP001653,-0.08493672586598665,-0.5544873301529852,-1.1631834670853884,0.2732312961117544,0.41173269183271005,1,0,0,0,0,1,0,0,0
LP002086,-0.17536826828466362,0.28378682164978103,-0.4254282484081714,0.2732312961117544,0.41173269183271005,0,1,0,0,0,0,0,0,1
LP002740,0.16604356939744294,-0.5544873301529852,0.1338378044600415,-2.5228356340985316,0.41173269183271005,1,1,0,0,1,0,0,0,0
LP002229,0.08806274658713453,0.8929121845060546,1.7878374076234798,0.2732312961117544,0.41173269183271005,1,0,0,0,0,0,0,1,0
LP001325,-0.2921756772421214,-0.5544873301529852,-1.4368668546591947,-3.4548579441686273,0.41173269183271005,1,0,0,0,0,1,0,1,0
LP001633,0.1632585400113605,1.925107774118763,0.40752119203384785,0.2732312961117544,-2.428760260810931,1,1,1,0,0,0,0,0,1
LP002116,-0.49564664768414457,-0.5544873301529852,-1.186982022526589,0.2732312961117544,0.41173269183271005,0,0,0,0,0,0,0,0,0
LP002113,-0.5854228890708022,-0.5544873301529852,-0.21124124943736647,0.2732312961117544,-2.428760260810931,0,0,0,0,1,1,0,0,1
LP002053,-0.17389384096261998,-0.4898468508830045,-0.2588383603197676,0.2732312961117544,0.41173269183271005,1,1,0,0,1,0,0,1,0
LP001011,0.0022183113925933404,0.8805997122641535,1.4427583537260718,0.2732312961117544,0.41173269183271005,1,1,0,1,0,0,1,0,1
LP001137,-0.3265789814231398,-0.5544873301529852,-0.6872123582613775,0.2732312961117544,0.41173269183271005,0,0,0,0,0,0,0,0,1
LP001974,-0.06609682119542894,-0.5544873301529852,-0.16364413855496537,0.2732312961117544,0.41173269183271005,0,0,0,0,0,0,0,0,0
LP002784,-0.47697056827159173,0.25779382469465645,-0.21124124943736647,0.2732312961117544,0.41173269183271005,1,1,1,0,0,1,0,0,0
LP002690,-0.4756599662075529,-0.5544873301529852,-1.0798885230411865,0.2732312961117544,0.41173269183271005,1,0,0,0,0,0,0,1,0
